,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
danceability,1.0,0.04962267285665908,0.011501379441615034,-0.010802280814634175,-0.0527376792122723,0.2363057849422055,-0.2998255567159522,-0.06852822384418795,-0.014689021953949286,0.415889517564076,-0.02660668284883725,-0.18191268196429486,0.11053677696777198
energy,0.04962267285665908,1.0,-0.1458607156602087,0.6816803605362683,0.03318580543648812,-0.05996425505961342,-0.43206810488662084,-0.0818320686264631,0.13536826153261428,0.30859451598635373,0.19495725578207365,0.046779387765874376,0.1390523878082637
key,0.011501379441615034,-0.1458607156602087,1.0,-0.06289590521009564,-0.1610797734569342,0.059350818116822086,0.06395036100879588,-0.09337799125679869,0.040039040296755014,0.024234478517705424,0.03051311140831508,0.01934963053331831,-0.04482357255578523
loudness,-0.010802280814634175,0.6816803605362683,-0.06289590521009564,1.0,0.14999383760036,-0.29113700355193367,-0.22252543013034232,-0.25478696759356284,0.088463615755832,0.1350978844942633,0.2186722146197641,0.04861021703360048,0.2025149786319004
mode,-0.0527376792122723,0.03318580543648812,-0.1610797734569342,0.14999383760036,1.0,-0.04637956795588944,0.03860673616581776,-0.06955823080862568,0.038677623640829994,0.07503908371294853,-0.002113368772017812,0.10848408033109734,0.08491826937868197
speechiness,0.2363057849422055,-0.05996425505961342,0.059350818116822086,-0.29113700355193367,-0.04637956795588944,1.0,-0.1894351641665934,0.023122821314504795,-0.009775448440081486,0.13684259883047561,0.22246166936413092,-0.15900752541621646,0.003252218691271085
acousticness,-0.2998255567159522,-0.43206810488662084,0.06395036100879588,-0.22252543013034232,0.03860673616581776,-0.1894351641665934,1.0,-0.047495434637489,-0.09627751927791453,-0.19082602006607643,-0.11768075213265894,-0.11724264310270127,0.017929685638499396
instrumentalness,-0.06852822384418795,-0.0818320686264631,-0.09337799125679869,-0.25478696759356284,-0.06955823080862568,0.023122821314504795,-0.047495434637489,1.0,-0.06089301371482568,-0.136692698945076,-0.05930165106545253,0.11260042774486474,0.014764733601632843
liveness,-0.014689021953949286,0.13536826153261428,0.040039040296755014,0.088463615755832,0.038677623640829994,-0.009775448440081486,-0.09627751927791453,-0.06089301371482568,1.0,0.019678525532798162,-0.007663665522261748,-0.06661999800183994,-0.05593953273451025
valence,0.415889517564076,0.30859451598635373,0.024234478517705424,0.1350978844942633,0.07503908371294853,0.13684259883047561,-0.19082602006607643,-0.136692698945076,0.019678525532798162,1.0,0.013214606723098534,-0.13073721090569881,-0.012547840217365241
tempo,-0.02660668284883725,0.19495725578207365,0.03051311140831508,0.2186722146197641,-0.002113368772017812,0.22246166936413092,-0.11768075213265894,-0.05930165106545253,-0.007663665522261748,0.013214606723098534,1.0,-0.05869733169827297,0.06424055713634388
duration_ms,-0.18191268196429486,0.046779387765874376,0.01934963053331831,0.04861021703360048,0.10848408033109734,-0.15900752541621646,-0.11724264310270127,0.11260042774486474,-0.06661999800183994,-0.13073721090569881,-0.05869733169827297,1.0,-0.03433702592708118
time_signature,0.11053677696777198,0.1390523878082637,-0.04482357255578523,0.2025149786319004,0.08491826937868197,0.003252218691271085,0.017929685638499396,0.014764733601632843,-0.05593953273451025,-0.012547840217365241,0.06424055713634388,-0.03433702592708118,1.0
