,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
popularity,1.0,0.20357791159058364,0.19039223284898807,0.1339101407915934,0.27198285044901666,0.07699351095929993,0.3020431706204639,-0.1330250504386081,-0.02499777429674874,0.0475341410591265,0.20506241363288832,-0.14251361358564754,-0.2809497076322816,0.072202653020916
danceability,0.20357791159058364,1.0,0.28395798304582764,-0.0350795644576304,0.3560942119374795,-0.10138976508264369,0.04678816393297662,-0.22093959458566126,-0.26580111096545,-0.1560571049602135,0.42533916093617935,-0.09504168276332026,-0.2702614145800265,0.106417084998026
energy,0.19039223284898807,0.28395798304582764,1.0,0.04692552850843513,0.7482535829672724,0.0050537912886896574,0.05934140242098439,-0.6665129279016658,-0.18260940580675747,0.21157321182217306,0.502502826322123,0.1491749694609834,-0.004741368172238704,0.09910391730024827
key,0.1339101407915934,-0.0350795644576304,0.04692552850843513,1.0,0.10700556516545702,-0.20688734462499586,0.04506828854074966,-0.14640884945211627,-0.015053893182184289,-0.04934776263189351,0.09443380677605596,-0.017691868862792372,0.10592338478794742,0.06945657228528156
loudness,0.27198285044901666,0.3560942119374795,0.7482535829672724,0.10700556516545702,1.0,-0.017614945232794728,-0.002174721175769795,-0.5517588280670336,-0.42359856612516733,0.06450328806933482,0.4747688726507379,0.15204683148232936,-0.06765040641929246,0.021552117968202358
mode,0.07699351095929993,-0.10138976508264369,0.0050537912886896574,-0.20688734462499586,-0.017614945232794728,1.0,-0.12891967859651976,0.041924291552033484,0.08388306288387794,0.06170388162912323,-0.13631099526824184,-0.01868168642385385,-0.027569012892313997,-0.07505556132154292
speechiness,0.3020431706204639,0.04678816393297662,0.05934140242098439,0.04506828854074966,-0.002174721175769795,-0.12891967859651976,1.0,-0.04795039755122431,-0.1025526840458466,0.17238515018416084,0.32883720079444756,-0.037280623346997055,-0.19653882834567218,0.09926969762434901
acousticness,-0.1330250504386081,-0.22093959458566126,-0.6665129279016658,-0.14640884945211627,-0.5517588280670336,0.041924291552033484,-0.04795039755122431,1.0,0.14353019602427242,-0.14256229894002717,-0.2506501629866255,-0.09893761075791042,0.030109419623366815,-0.09028967841611854
instrumentalness,-0.02499777429674874,-0.26580111096545,-0.18260940580675747,-0.015053893182184289,-0.42359856612516733,0.08388306288387794,-0.1025526840458466,0.14353019602427242,1.0,-0.031777118582810966,-0.1700238137095601,0.04483211249464873,0.05816832563092881,-0.0758791513655907
liveness,0.0475341410591265,-0.1560571049602135,0.21157321182217306,-0.04934776263189351,0.06450328806933482,0.06170388162912323,0.17238515018416084,-0.14256229894002717,-0.031777118582810966,1.0,0.10032708852973392,-0.10581237845516794,0.023858611743370506,-0.022262955738706992
valence,0.20506241363288832,0.42533916093617935,0.502502826322123,0.09443380677605596,0.4747688726507379,-0.13631099526824184,0.32883720079444756,-0.2506501629866255,-0.1700238137095601,0.10032708852973392,1.0,0.041628011313115484,-0.10277334779228052,0.10495519113597852
tempo,-0.14251361358564754,-0.09504168276332026,0.1491749694609834,-0.017691868862792372,0.15204683148232936,-0.01868168642385385,-0.037280623346997055,-0.09893761075791042,0.04483211249464873,-0.10581237845516794,0.041628011313115484,1.0,-0.12782032511978808,-0.2151381979137038
duration_ms,-0.2809497076322816,-0.2702614145800265,-0.004741368172238704,0.10592338478794742,-0.06765040641929246,-0.027569012892313997,-0.19653882834567218,0.030109419623366815,0.05816832563092881,0.023858611743370506,-0.10277334779228052,-0.12782032511978808,1.0,0.03689207235517303
time_signature,0.072202653020916,0.106417084998026,0.09910391730024827,0.06945657228528156,0.021552117968202358,-0.07505556132154292,0.09926969762434901,-0.09028967841611854,-0.0758791513655907,-0.022262955738706992,0.10495519113597852,-0.2151381979137038,0.03689207235517303,1.0
